v403,v519/102
v347,v126/284
v472,v567/114
v594,v60/320
v285,v524/428
v401,v441/277
v458,v322/52
v39,v363/407
v399,v125/422
v125,v285/477
v512,v533/163
v41,v60/463
v230,v92/89
v250,v352/407
v497,v14/430
v376,v117/314
v112,v383/259
v360,v169/411
v72,v595/275
v326,v450/398
v248,v170/89
v103,v608/338
v221,v451/340
v58,v256/405
v279,v591/332
v454,v534/360
v151,v301/210
v505,v133/421
v29,v341/64
v351,v580/31
v214,v156/349
v492,v111/90
v175,v622/73
v65,v390/247
v207,v590/148
v364,v430/446
v125,v554/216
v93,v400/202
v109,v255/356
v288,v547/186
v438,v496/110
v430,v89/93
v340,v344/357
v483,v37/75
v185,v47/251
v364,v586/296
v254,v388/183
v369,v145/12
v481,v514/24
v612,v232/17
v378,v111/391
v161,v43/161
v336,v619/132
v49,v357/273
v54,v82/482
v610,v340/461
v84,v445/180
v155,v0/190
v130,v394/8
v405,v242/99
v368,v97/162
v141,v539/181
v478,v102/315
v209,v615/335
v595,v22/269
v92,v63/218
v40,v460/401
v566,v27/221
v291,v560/393
v230,v404/447
v166,v559/345
v109,v281/498
v291,v614/36
v394,v533/205
v478,v297/125
v202,v278/67
v1,v434/318
v213,v312/77
v146,v345/230
v226,v214/123
v24,v422/249
v101,v589/336
v137,v319/387
v623,v585/57
v205,v62/82
v609,v220/371
v485,v352/310
v246,v511/79
v26,v217/113
v66,v170/368
v466,v253/207
v108,v473/186
v84,v486/260
v477,v353/45
v594,v255/408
v552,v155/221
v77,v52/232
v542,v139/447
v544,v288/256
v215,v256/294
v522,v531/103
v282,v117/476
v127,v102/235
v100,v93/135
v261,v567/29
v154,v393/257
v396,v577/365
v450,v420/245
v564,v56/37
v32,v572/352
v200,v388/329
v3,v157/34
v563,v399/303
v190,v176/153
v41,v229/20
v588,v413/426
v557,v547/488
v483,v422/50
v307,v280/65
v175,v83/359
v546,v608/411
v19,v291/486
v622,v97/54
v180,v520/52
v182,v408/271
v268,v617/135
v505,v231/388
v295,v33/121
v503,v144/429
v125,v490/484
v321,v189/73
v174,v447/265
v116,v125/317
v448,v6/109
v165,v421/81
v549,v613/186
v279,v439/211
v273,v89/118
v292,v542/399
v423,v340/190
v173,v445/405
v446,v339/45
v0,v294/134
v317,v6/50
v410,v123/451
v554,v311/455
v606,v14/335
v236,v536/491
v289,v557/371
v470,v447/439
v228,v455/119
v48,v343/42
v471,v159/154
v491,v158/359
v459,v15/74
v567,v273/446
v261,v227/212
v51,v391/196
v616,v526/441
v577,v209/378
v498,v526/145
v83,v168/396
v532,v202/284
v392,v599/116
v201,v107/279
v177,v99/305
v138,v10/119
v189,v353/130
v307,v251/79
v91,v352/433
v392,v107/439
v615,v91/219
v425,v406/264
v390,v157/6
v475,v29/84
v170,v203/481
v127,v433/78
v580,v5/134
v247,v289/421
v14,v223/457
v49,v182/328
v98,v417/481
v354,v420/252
v533,v565/68
v617,v0/478
v522,v219/390
v242,v245/496
v624,v446/228
v289,v376/428
v105,v489/77
v443,v130/486
v243,v515/342
v80,v375/466
v421,v330/461
v0,v621/113
v66,v376/138
v293,v340/449
v33,v14/348
v505,v8/437
v1,v106/180
v34,v546/36
v244,v441/424
v190,v108/26
v146,v326/156
v391,v203/247
v477,v366/438
v9,v147/369
v250,v510/377
v386,v612/425
v348,v574/436
v613,v127/117
v574,v548/487
v424,v452/388
v392,v29/147
v121,v33/63
v615,v414/40
v439,v401/15
v308,v95/27
v141,v566/401
v123,v244/471
v130,v429/190
v251,v520/417
v3,v485/181
v172,v56/415
v392,v272/72
v372,v571/424
v433,v549/331
v430,v76/371
v204,v359/61
v429,v213/118
v178,v254/181
v324,v193/242
v459,v147/275
v97,v272/375
v121,v205/336
v236,v177/227
v194,v261/329
v393,v499/322
v414,v441/461
v331,v568/406
v366,v452/31
v437,v14/332
v215,v518/168
v17,v302/210
v87,v370/323
v255,v563/100
v277,v369/475
v145,v406/193
v161,v311/352
v452,v185/201
v426,v559/333
v160,v103/342
v310,v503/238
v156,v328/74
v6,v451/245
v210,v505/264
v53,v394/143
v356,v348/69
v299,v34/80
v507,v609/306
v443,v300/413
v413,v311/389
v81,v325/381
v291,v342/176
v240,v175/241
v504,v459/422
v518,v344/236
v437,v458/400
v8,v265/305
v380,v71/94
v239,v474/431
v497,v510/262
v468,v12/324
v383,v517/52
v463,v93/323
v122,v182/464
v435,v84/382
v75,v44/374
v275,v345/329
v564,v257/29
v236,v514/316
v443,v409/350
v440,v571/406
v480,v153/255
v518,v4/319
v64,v226/454
v440,v218/341
v167,v272/284
v528,v193/296
v73,v92/103
v511,v270/208
v241,v453/173
v366,v274/493
v72,v519/6
v351,v262/287
v440,v417/346
v568,v599/92
v316,v510/257
v228,v170/387
v550,v516/226
v588,v6/118
v77,v149/35
v68,v497/313
v38,v251/9
v550,v145/180
v326,v526/465
v254,v118/95
v581,v336/272
v623,v132/188
v95,v128/286
v172,v308/450
v185,v557/496
v16,v258/480
v200,v525/101
v266,v113/253
v535,v115/47
v455,v193/406
v68,v536/365
v61,v352/360
v425,v33/198
v57,v591/254
v230,v245/435
v498,v262/256
v236,v143/46
v130,v384/77
v601,v394/234
v224,v68/397
v146,v394/55
v384,v451/301
v33,v559/483
v249,v45/245
v252,v205/381
v176,v310/470
v436,v493/100
v81,v442/85
v569,v204/1
v620,v624/486
v9,v88/14
v441,v403/168
v263,v17/430
v174,v521/172
v126,v338/181
v124,v371/195
v396,v441/122
v255,v409/481
v253,v14/83
v133,v566/169
v18,v462/410
v400,v8/149
v557,v294/443
v228,v87/394
v81,v416/90
v190,v217/164
v27,v331/179
v52,v575/408
v619,v282/392
v502,v178/376
v529,v534/421
v341,v542/496
v98,v253/7
v210,v288/280
v218,v67/216
v90,v310/372
v297,v89/34
v439,v363/498
v195,v442/331
v572,v550/90
v325,v176/398
v530,v399/283
v74,v243/474
v191,v577/325
v362,v186/400
v362,v69/433
v297,v114/103
v434,v283/465
v290,v260/416
v128,v380/91
v401,v148/131
v359,v232/430
v386,v557/59
v156,v594/144
v50,v419/284
v241,v25/128
v164,v249/68
v171,v591/30
v522,v612/187
v406,v399/226
v580,v66/487
v104,v33/151
v408,v547/368
v428,v132/267
v38,v331/405
v401,v489/59
v4,v543/394
v50,v79/183
v166,v13/246
v357,v238/131
v541,v404/269
v379,v87/480
v311,v194/129
v259,v93/119
v382,v519/417
v332,v276/467
v168,v158/94
v418,v294/131
v176,v352/468
v166,v182/390
v417,v69/187
v143,v601/397
v398,v615/316
v104,v7/171
v576,v359/134
v85,v10/225
v529,v58/21
v617,v466/187
v304,v229/419
v333,v614/461
v435,v102/286
v317,v556/318
v75,v535/12
v43,v332/368
v257,v126/256
v376,v318/435
v446,v388/401
v433,v76/73
v183,v273/327
v395,v579/91
v5,v551/478
v375,v370/80
v225,v143/125
v343,v156/309
v277,v619/43
v209,v121/257
v451,v18/389
v108,v27/50
v574,v300/81
v101,v70/246
v57,v303/54
v586,v444/75
v532,v397/193
v283,v248/350
v570,v482/101
v318,v146/126
v153,v102/125
v182,v215/57
v518,v173/325
v56,v49/406
v288,v489/351
v52,v357/253
v104,v196/67
v551,v88/204
v32,v123/110
v101,v5/377
v112,v124/54
v624,v310/336
v567,v447/307
v504,v245/496
v51,v254/418
v488,v593/433
v60,v342/158
v453,v72/272
v110,v412/235
v473,v610/390
v496,v573/38
v223,v331/309
v482,v602/412
v464,v524/4
v612,v570/439
v217,v74/418
v454,v574/110
v3,v182/259
v572,v136/251
v51,v390/174
v346,v501/23
v4,v80/121
v319,v180/468
v494,v574/13
v318,v254/69
v564,v66/27
v572,v40/178
v40,v272/108
v414,v381/206
v516,v130/269
v518,v434/196
v410,v179/271
v462,v541/378
v588,v71/132
v455,v267/347
v347,v87/470
v145,v257/138
v353,v348/280
v122,v595/176
v532,v501/441
v216,v76/261
v221,v34/333
v616,v308/61
v509,v327/193
v8,v52/66
v217,v149/74
v398,v512/491
v416,v559/490
v130,v44/426
v491,v478/269
v413,v399/312
v288,v586/493
v310,v345/52
v355,v556/471
v561,v553/354
v471,v381/423
v1,v25/186
v225,v348/202
v7,v169/386
v566,v458/483
v600,v389/460
v35,v562/372
v484,v61/317
v416,v432/443
v374,v561/215
v145,v443/498
v390,v74/107
v152,v157/496
v301,v393/129
v330,v567/430
v563,v599/402
v610,v587/200
v238,v492/176
v527,v10/255
v355,v490/120
v300,v135/222
v540,v526/466
v228,v43/422
v542,v246/457
v40,v582/354
v41,v332/115
v621,v52/114
v550,v398/92
v90,v571/420
v85,v618/28
v55,v165/395
v12,v105/293
v402,v324/410
v362,v210/91
v251,v213/245
v358,v532/301
v0,v72/173
v186,v132/398
v409,v21/42
v416,v359/108
v135,v13/211
v616,v48/3
v576,v77/380
v266,v593/455
v127,v480/315
v556,v51/59
v296,v13/406
v248,v90/181
v542,v386/128
v73,v522/15
v67,v1/457
v215,v596/430
v77,v457/77
v374,v449/363
v231,v495/211
v617,v484/17
v608,v352/132
v503,v482/245
v102,v234/122
v503,v468/350
v12,v160/33
v72,v82/489
v520,v535/405
v348,v138/281
v143,v139/485
v119,v347/139
v29,v538/244
v29,v298/326
v607,v454/366
v491,v184/302
v326,v29/165
v600,v252/448
v490,v610/124
v581,v294/31
v244,v40/209
v118,v289/273
v278,v73/403
v16,v135/57
v360,v526/70
v622,v254/75
v499,v475/41
v55,v322/115
v331,v393/401
v81,v134/138
v23,v73/297
v392,v216/127
v206,v25/248
v50,v405/71
v138,v267/436
v191,v332/321
v31,v472/131
v453,v124/54
v94,v357/123
v97,v184/408
v48,v351/189
v198,v201/160
v58,v321/345
v618,v67/12
v181,v471/453
v475,v530/304
v232,v494/169
v216,v15/293
v472,v428/176
v599,v496/96
v508,v195/347
v248,v162/295
v394,v524/285
v381,v305/157
v199,v191/295
v138,v70/112
v143,v382/280
v266,v22/161
v53,v438/454
v381,v53/206
v371,v191/484
v351,v518/13
v60,v624/121
v544,v304/143
v296,v350/351
v608,v226/400
v203,v226/423
v301,v302/178
v282,v202/377
v374,v494/279
v440,v552/488
v342,v464/105
v520,v319/205
v242,v303/261
v297,v5/135
v500,v299/395
v205,v56/127
v181,v206/164
v237,v373/305
v399,v610/258
v177,v378/56
v591,v551/267
v470,v189/113
v600,v580/123
v573,v247/222
v71,v159/190
v568,v57/37
v135,v289/187
v335,v145/243
v261,v36/122
v586,v170/194
v226,v345/55
v384,v375/478
v216,v569/104
v512,v441/215
v101,v41/203
v315,v520/171
v539,v319/431
v338,v550/155
v441,v514/352
v175,v22/150
v462,v553/415
v467,v61/324
v104,v476/354
v112,v339/152
v275,v333/447
v484,v505/117
v194,v509/78
v421,v389/5
v22,v58/205
v19,v173/41
v150,v293/412
v573,v142/118
v15,v23/436
v252,v438/4
v281,v187/366
v454,v600/154
v539,v35/48
v490,v382/167
v331,v540/217
v53,v508/219
v327,v328/333
v390,v532/389
v91,v288/134
v253,v172/361
v216,v414/180
v237,v67/309
v70,v147/367
v604,v263/409
v225,v396/56
v514,v566/429
v138,v423/268
v129,v452/88
v41,v600/90
v180,v158/177
v189,v148/122
v327,v354/149
v247,v49/204
v384,v6/360
v573,v291/348
v139,v14/365
v621,v251/36
v86,v393/77
v73,v241/179
v164,v42/421
v234,v57/322
v117,v211/28
v14,v540/483
v128,v230/267
v182,v375/194
v308,v337/131
v499,v2/172
v342,v142/174
v130,v256/198
v571,v137/424
v605,v147/499
v612,v387/315
v408,v305/119
v298,v99/411
v568,v374/109
v389,v212/181
v455,v74/422
v622,v207/333
v188,v172/187
v261,v524/187
v49,v144/165
v521,v432/40
v88,v267/108
v611,v328/469
v399,v488/158
v561,v379/351
v590,v319/464
v289,v145/143
v355,v305/254
v234,v435/134
v220,v521/382
v74,v539/296
v61,v402/33
v391,v517/361
v579,v388/339
v618,v102/336
v84,v387/238
v495,v75/384
v527,v498/484
v474,v607/213
v470,v31/458
v45,v171/376
v252,v530/64
v183,v430/404
v595,v180/179
v451,v471/174
v315,v333/93
v599,v31/352
v382,v518/253
v470,v387/129
v249,v601/48
v103,v417/372
v545,v108/107
v132,v475/7
v228,v449/442
v60,v47/203
v393,v119/456
v393,v531/388
v196,v17/453
v506,v379/469
v387,v332/320
v579,v352/469
v322,v547/229
v503,v370/113
v483,v216/184
v113,v121/356
v451,v46/109
v77,v343/419
v599,v245/30
v415,v68/471
v157,v441/183
v215,v467/274
v145,v609/117
v81,v156/146
v371,v131/327
v365,v137/20
v79,v73/188
v546,v19/210
v404,v464/176
v492,v555/271
v38,v267/282
v85,v80/295
v263,v113/472
v365,v359/402
v251,v359/432
v269,v255/91
v53,v621/202
v315,v479/192
v17,v11/56
v264,v238/244
v218,v552/51
v49,v327/55
v133,v585/378
v201,v27/329
v94,v380/320
v509,v397/410
v86,v494/177
v553,v334/248
v386,v367/443
v223,v30/499
v124,v522/409
v380,v258/253
v390,v162/156
v393,v438/116
v3,v454/226
v72,v384/14
v78,v431/146
v386,v560/70
v114,v395/58
v382,v72/436
v526,v14/335
v253,v336/302
v533,v194/379
v369,v605/277
v573,v167/226
v299,v513/456
v514,v254/413
v487,v495/443
v102,v287/473
v281,v21/404
v406,v453/231
v114,v607/323
v308,v237/437
v252,v407/64
v326,v223/17
v398,v585/128
v290,v89/165
v78,v266/435
v360,v570/272
v220,v411/155
v219,v259/97
v63,v61/411
v479,v589/309
v536,v348/222
v410,v92/484
v421,v621/173
v414,v129/152
v325,v29/190
v538,v183/367
v26,v76/191
v149,v86/449
v566,v495/46
v44,v599/461
v570,v596/237
v559,v536/16
v126,v5/394
v301,v16/303
v171,v464/316
v409,v578/433
v183,v34/412
v234,v432/266
v538,v362/124
v138,v539/363
v326,v89/486
v596,v598/387
v411,v599/365
v114,v162/15
v624,v341/34
v27,v205/433
v531,v367/138
v106,v443/333
v59,v467/244
v460,v480/23
v579,v578/226
v478,v557/377
v558,v254/346
v584,v264/439
v483,v81/413
v395,v274/46
v25,v227/272
v291,v9/294
v2,v72/12
v235,v374/190
v303,v582/223
v121,v386/264
v13,v51/155
v399,v623/60
v175,v402/125
v105,v516/8
v501,v611/96
v422,v109/172
v409,v96/14
v91,v311/265
v216,v452/345
v403,v530/325
v47,v359/332
v130,v164/118
v11,v536/124
v132,v407/116
v200,v566/89
v400,v329/69
v287,v614/281
v182,v454/354
v176,v79/437
v362,v19/429
v335,v283/373
v317,v332/339
v299,v165/242
v308,v282/99
v146,v356/325
v102,v78/401
v323,v377/355
v607,v305/33
v396,v565/153
v615,v612/479
v60,v147/297
v23,v179/466
v74,v9/462
v458,v261/296
v519,v580/100
v576,v173/63
v345,v17/21
v434,v616/161
v558,v424/413
v234,v530/444
v188,v328/315
v559,v457/409
v49,v128/80
v343,v157/248
v4,v578/406
v509,v178/277
v255,v244/14
v405,v294/187
v253,v285/451
v515,v316/459
v592,v74/115
v564,v331/155
v170,v116/341
v73,v371/60
v361,v4/386
v387,v352/8
v541,v536/253
v63,v376/5
v484,v522/33
v47,v239/59
v302,v187/371
v522,v573/86
v469,v163/90
v265,v463/384
v50,v187/83
v555,v180/129
v18,v270/161
v491,v556/97
v18,v323/435
v50,v1/235
v303,v164/99
v27,v359/111
v623,v473/165
v134,v43/463
v66,v125/50
v7,v471/236
v368,v512/271
v4,v293/279
v316,v477/111
v302,v566/333
v594,v57/184
v231,v72/187
v255,v491/269
v261,v140/111
v294,v134/186
v560,v84/321
v44,v409/122
v219,v300/334
v220,v438/213
v443,v136/210
v610,v94/87
v446,v26/278
v24,v288/65
v435,v293/191
v508,v46/80
v7,v420/357
v454,v359/373
v126,v300/15
v417,v178/157
v470,v466/82
v226,v420/234
v12,v158/336
v201,v375/148
v333,v547/358
v597,v155/227
v249,v285/349
v275,v405/403
v345,v502/468
v309,v213/485
v598,v335/490
v590,v329/438
v482,v376/346
v188,v315/314
v357,v43/217
v27,v465/389
v56,v395/242
v20,v0/368
v497,v387/233
v297,v405/14
v271,v96/86
v501,v364/185
v138,v135/275
v315,v198/277
v209,v434/234
v543,v376/46
v579,v326/112
v618,v466/135
v59,v425/133
v340,v411/106
v186,v129/54
v613,v27/278
v137,v464/478
v414,v250/344
v168,v219/357
v624,v52/256
v176,v300/330
v263,v448/86
v205,v183/367
v392,v217/365
v226,v150/324
v330,v340/14
v474,v422/337
v499,v215/186
v210,v484/348
v362,v330/356
v509,v223/494
v305,v240/274
v397,v600/305
v329,v620/147
v588,v279/138
v545,v455/105
v379,v108/215
v183,v206/499
v171,v498/297
v430,v184/423
v275,v427/8
v177,v575/346
v298,v126/8
v480,v479/65
v431,v553/433
v126,v269/497
v399,v204/397
v510,v7/172
v451,v24/236
v395,v268/402
v238,v450/57
v572,v357/323
v135,v372/448
v568,v269/79
v566,v623/106
v337,v18/55
v584,v452/164
v243,v603/414
v72,v415/455
v241,v199/98
v245,v457/217
v602,v359/398
v52,v82/458
v7,v455/474
v245,v551/344
v448,v144/193
v494,v317/375
v449,v209/322
v439,v292/251
v52,v299/424
v383,v261/497
v282,v373/198
v580,v470/130
v282,v421/386
v199,v219/154
v544,v526/457
v534,v490/129
v556,v567/183
v474,v499/342
v347,v471/208
v460,v616/331
v144,v481/464
v375,v495/423
v587,v399/360
v160,v409/153
v535,v68/221
v250,v546/416
v146,v420/40
v45,v136/320
v512,v94/169
v278,v354/220
v196,v417/12
v173,v195/2
v318,v229/368
v192,v311/465
v568,v574/426
v89,v357/49
v430,v477/76
v165,v198/284
v468,v161/7
v498,v195/272
v602,v257/240
v427,v239/336
v304,v162/401
v414,v126/219
v50,v385/38
v543,v249/40
v413,v215/68
v91,v389/495
v536,v191/416
v601,v167/326
v109,v556/347
v603,v196/96
v594,v296/404
v456,v350/221
v329,v215/452
v159,v560/448
v373,v52/119
v2,v84/326
v40,v184/246
v347,v254/153
v334,v515/425
v566,v32/491
v304,v84/485
v349,v614/437
v478,v311/26
v455,v421/250
v412,v586/112
v79,v188/32
v559,v359/154
v329,v114/331
v558,v306/485
v564,v256/197
v50,v17/29
v290,v601/113
v263,v123/3
v373,v315/138
v253,v509/291
v28,v59/445
v544,v192/287
v35,v225/354
v604,v211/497
v148,v581/57
v522,v334/387
v303,v295/499
v24,v595/18
v374,v132/124
v96,v364/332
v476,v36/454
v292,v95/284
v586,v292/335
v266,v41/423
v330,v151/324
v67,v360/166
v406,v581/66
v327,v149/132
v179,v4/286
v559,v164/408
v114,v311/177
v315,v32/107
v92,v300/108
v397,v398/424
v407,v552/360
v71,v391/19
v68,v399/160
v270,v198/478
v34,v373/494
v388,v562/348
v565,v160/414
v257,v400/376
v336,v600/107
v176,v464/10
v364,v321/259
v386,v20/233
v425,v11/112
v442,v556/92
v214,v257/21
v528,v412/245
v291,v546/62
v517,v537/62
v456,v232/72
v301,v482/367
v622,v569/465
v280,v513/94
v369,v85/67
v307,v192/416
v294,v304/418
v148,v70/341
v115,v402/320
v560,v493/339
v509,v337/244
v261,v387/12
v247,v493/435
v415,v315/472
v580,v512/59
v309,v478/294
v379,v220/398
v29,v208/3
v395,v149/398
v151,v183/353
v385,v186/388
v172,v341/179
v388,v380/161
v26,v140/170
v580,v136/67
v379,v536/124
v173,v40/195
v270,v166/344
v537,v34/223
v370,v108/312
v200,v548/490
v8,v9/104
v134,v275/211
v270,v285/215
v284,v52/290
v188,v375/185
v432,v567/96
v56,v491/111
v97,v112/241
v339,v608/405
v588,v82/106
v46,v553/134
v497,v258/263
v383,v195/217
v278,v204/326
v561,v595/296
v294,v559/171
v503,v455/8
v618,v442/495
v333,v570/123
v217,v372/208
v288,v364/42
v570,v34/349
v139,v566/60
v433,v102/116
v623,v92/254
v75,v2/385
v503,v64/247
v378,v287/463
v446,v38/17
v11,v78/53
v608,v469/482
v194,v195/368
v132,v293/237
v105,v215/236
v449,v39/223
v181,v250/303
v356,v84/303
v165,v260/235
v480,v17/452
v355,v489/236
v173,v411/291
v247,v148/250
v494,v621/118
v280,v100/118
v236,v413/231
v134,v614/178
v312,v404/440
v459,v304/132
v256,v346/366
v268,v23/340
v191,v94/370
v182,v405/110
v458,v111/152
v548,v354/420
v255,v595/245
v450,v493/234
v24,v105/22
v26,v132/197
v607,v534/428
v576,v374/133
v18,v183/6
v0,v392/484
v25,v592/168
v507,v427/390
v124,v16/285
v76,v295/348
v523,v373/461
v440,v369/258
v299,v56/93
v516,v500/296
v2,v39/169
v372,v339/397
v302,v598/60
v15,v337/64
v407,v507/272
v237,v404/402
v63,v474/113
v391,v585/424
v340,v275/475
v463,v290/428
v344,v446/458
v368,v578/75
v4,v579/284
v586,v517/267
v106,v84/134
v276,v176/144
v431,v474/443
v393,v88/117
v77,v132/346
v92,v272/253
v486,v332/82
v366,v576/132
v353,v177/386
v556,v599/265
v238,v21/74
v148,v558/113
v104,v143/30
v229,v265/421
v579,v176/214
v101,v146/164
v170,v566/140
v175,v117/168
v190,v483/315
v82,v581/496
v450,v269/394
v388,v125/274
v543,v354/203
v144,v416/31
v176,v230/139
v355,v108/30
v510,v274/118
v281,v176/112
v574,v11/319
v6,v346/456
v584,v404/407
v142,v305/360
v202,v94/159
v382,v337/61
v608,v163/9
v433,v21/487
v622,v543/445
v512,v146/15
v192,v534/289
v16,v547/456
v526,v241/387
v71,v254/435
v516,v414/465
v45,v48/343
v577,v310/451
v202,v351/466
v535,v253/280
v369,v422/185
v247,v5/433
v460,v70/80
v75,v102/432
v432,v151/359
v175,v607/1
v134,v482/153
v393,v521/31
v46,v195/486
v52,v602/424
v383,v604/104
v134,v87/315
v396,v325/427
v432,v303/350
v199,v37/230
v418,v225/40
v577,v482/119
v130,v6/130
v291,v264/196
v178,v536/186
v410,v2/84
v172,v32/7
v248,v460/116
v194,v578/341
v71,v313/252
v21,v609/443
v276,v193/283
v545,v2/277
v84,v618/135
v243,v458/313
v449,v93/447
v439,v251/145
v371,v107/381
v433,v256/231
v310,v522/305
v149,v94/349
v24,v126/449
v28,v419/484
v409,v453/164
v252,v347/476
v143,v399/147
v115,v409/63
v6,v507/315
v410,v90/314
v600,v602/243
v592,v556/341
v193,v509/4
v435,v125/267
v39,v416/50
v410,v492/239
v159,v171/166
v205,v347/122
v386,v571/135
v126,v410/227
v456,v595/20
v247,v186/428
v503,v39/146
v385,v447/459
v231,v166/349
v517,v463/224
v488,v17/170
v421,v454/145
v497,v399/348
v562,v284/78
v322,v162/193
v368,v590/482
v552,v117/400
v405,v494/275
v50,v37/437
v58,v244/389
v157,v384/115
v203,v82/444
v142,v548/454
v203,v12/242
v544,v367/317
v516,v558/58
v614,v107/12
v604,v230/392
v527,v208/8
v504,v309/352
v144,v134/325
v138,v546/464
v547,v422/81
v271,v56/424
v227,v380/220
v243,v131/131
v345,v467/184
v551,v285/206
v545,v336/222
v411,v478/26
v106,v247/485
v57,v317/315
v439,v294/386
v138,v588/308
v564,v17/256
v197,v178/36
v169,v141/297
v329,v498/29
v103,v221/261
v376,v525/4
v122,v371/394
v311,v324/88
v140,v420/132
v72,v69/120
v254,v500/377
v499,v15/115
v96,v310/197
v427,v439/370
v245,v377/117
v448,v15/244
v349,v239/467
v542,v282/308
v387,v46/49
v399,v138/68
v420,v209/52
v311,v444/214
v122,v262/251
v465,v67/435
v77,v11/468
v242,v175/184
v237,v408/53
v112,v492/408
v381,v291/56
v120,v354/158
v224,v423/440
v110,v73/258
v243,v204/393
v144,v170/429
v372,v295/84
v412,v496/368
v528,v608/497
v425,v386/211
v92,v30/128
v454,v47/144
v210,v565/351
v390,v285/336
v551,v201/26
v371,v311/17
v461,v322/219
v58,v406/23
v461,v554/468
v206,v516/198
v300,v613/132
v147,v466/474
v139,v194/28
v520,v84/159
v602,v189/234
v482,v495/229
v601,v200/111
v170,v292/153
v70,v142/121
v431,v278/344
v112,v164/64
v76,v51/323
v147,v178/390
v442,v34/207
v246,v268/214
v53,v366/400
v261,v468/69
v525,v277/339
v8,v403/83
v43,v533/150
v345,v494/142
v396,v105/14
v281,v355/42
v581,v79/192
v615,v485/475
v366,v103/359
v94,v513/72
v335,v501/55
v180,v472/117
v346,v317/422
v550,v86/64
v408,v145/261
v428,v569/433
v111,v339/465
v521,v140/221
v526,v249/148
v240,v521/92
v372,v366/354
v330,v241/84
v24,v320/228
v466,v4/144
v146,v105/431
v565,v149/484
v426,v155/462
v490,v209/26
v496,v302/200
v252,v88/269
v549,v20/254
v89,v201/253
v183,v446/2
v227,v488/400
v430,v483/35
v585,v572/489
v544,v221/474
v104,v517/113
v384,v181/210
v610,v554/13
v574,v27/107
v169,v420/74
v156,v614/15
v297,v233/300
v306,v227/44
v138,v18/439
v435,v146/162
v183,v240/97
v225,v538/457
v503,v432/484
v85,v583/371
v124,v386/228
v503,v569/84
v123,v138/456
v373,v580/386
v216,v379/46
v129,v261/346
v583,v409/270
v292,v250/205
v371,v459/15
v514,v300/384
v407,v244/53
v351,v500/164
v464,v173/214
v458,v433/26
v47,v259/153
v438,v616/252
v445,v260/468
v609,v394/178
v209,v217/262
v288,v228/165
v506,v223/168
v424,v432/57
v543,v120/7
v473,v35/413
v312,v51/352
v600,v469/300
v385,v145/405
v189,v497/466
v563,v426/93
v322,v284/347
v63,v541/186
v439,v402/140
v191,v551/78
v126,v56/468
v345,v259/227
v162,v413/178
v285,v75/75
v217,v140/321
v102,v314/388
v448,v576/142
v45,v99/394
v120,v586/333
v24,v146/179
v610,v254/384
v566,v582/278
v145,v397/202
v541,v234/437
v544,v21/226
v1,v129/102
v534,v177/145
v10,v368/169
v273,v428/181
v151,v315/269
v431,v580/471
v319,v427/184
v347,v132/414
v280,v563/226
v570,v19/474
v523,v336/132
v361,v16/461
v66,v162/386
v294,v554/487
v479,v34/196
v162,v104/321
v551,v172/96
v186,v262/287
v451,v113/97
v24,v262/418
v153,v300/362
v286,v33/286
v493,v401/188
v99,v33/479
v308,v108/287
v14,v462/479
v223,v560/193
v43,v567/414
v310,v451/256
v482,v116/457
v470,v104/318
v271,v152/299
v14,v588/393
v22,v384/390
v275,v313/162
v214,v136/358
v518,v480/324
v575,v326/330
v508,v320/212
v292,v379/63
v233,v620/83
v445,v566/260
v555,v206/454
v298,v507/226
v519,v30/426
v225,v462/84
v164,v602/217
v330,v494/379
v442,v178/342
v41,v246/121
v557,v330/365
v50,v205/494
v184,v416/185
v585,v310/75
v282,v73/172
v338,v331/125
v411,v227/195
v260,v588/35
v415,v18/47
v342,v76/26
v430,v576/142
v87,v295/101
v484,v437/79
v441,v38/376
v540,v497/50
v296,v98/384
v74,v536/57
v241,v290/26
v435,v170/425
v57,v613/405
v291,v339/285
v489,v370/280
v348,v166/374
v248,v331/69
v269,v557/401
v53,v228/101
v1,v561/77
v351,v618/459
v603,v472/100
v335,v291/282
v15,v308/194
v137,v205/354
v362,v242/24
v552,v438/222
v213,v593/158
v139,v43/84
v346,v251/403
v281,v319/294
v621,v214/258
v445,v274/48
v25,v272/456
v108,v239/418
v155,v226/139
v367,v461/235
v4,v60/253
v404,v543/21
v246,v576/123
v187,v24/101
v603,v464/362
v473,v620/185
v392,v221/328
v442,v283/153
v226,v555/165
v465,v531/256
v618,v617/265
v558,v472/185
v387,v118/121
v7,v309/288
v570,v254/397
v467,v497/131
v354,v414/340
v101,v116/380
v384,v30/269
v324,v575/161
v305,v155/75
v424,v514/87
v34,v83/377
v624,v463/154
v341,v461/48
v619,v26/142
v576,v195/180
v431,v344/182
v4,v106/456
v0,v335/345
v279,v158/339
v474,v108/272
v302,v581/237
v209,v354/146
v611,v167/144
v517,v575/54
v199,v77/409
v71,v4/402
v306,v139/253
v545,v537/401
v81,v569/74
v342,v180/69
v356,v92/177
v299,v595/12
v53,v519/438
v545,v526/22
v207,v133/146
v75,v616/455
v572,v384/349
v25,v173/336
v208,v499/327
v45,v312/445
v498,v396/71
v343,v303/104
v184,v593/8
v266,v221/272
v6,v152/120
v161,v178/345
v530,v311/63
